  채용경쟁률 현황,,,,,,,
연도,구분,전형,직렬(업무분야),선발인원,지원인원,필기 합격선,경쟁률
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,행정,5,535,N/A,107:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,기계,7,238,N/A,34:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,전기,11,338,N/A,30.7:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,토목,1,24,N/A,24:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,건축,1,45,N/A,45:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,통신,4,34,N/A,8.5:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,행정(노무),1,16,N/A,16:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,행정(결산),1,23,N/A,23:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,전산(전산시스템 개발),1,2,N/A,2:1
2020,부산시설공단 일반직 공개경쟁채용 공고,일반,전산(웹 및 그래픽디자인),1,12,N/A,12:1
2020,부산시설공단 무기계약직 공개경쟁채용 공고,일반,시설관리,14,424,N/A,30.3:1
2020,부산시설공단 무기계약직 공개경쟁채용 공고,취업지원대상,시설관리,5,24,N/A,4.8:1
2020,부산시설공단 무기계약직 공개경쟁채용 공고,일반,도로청소,3,84,N/A,28:1
2020,부산시설공단 무기계약직 공개경쟁채용 공고,일반,청소,15,131,N/A,8.7:1
2020,부산시설공단 무기계약직 공개경쟁채용 공고,취업지원대상,청소,5,8,N/A,1.6:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,운영직(행정),7,401,85,57.3:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,운영직(경영),16,1265,86,79.1:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,운영직(경제),4,166,82,41.5:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,운영직(법),3,93,64,31.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,운영직(회계),3,90,76,30.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,토목직,3,235,72,78.3:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,건축직,3,109,65,36.3:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,기계직,10,372,73,37.2:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,전기직,13,426,72,32.8:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,신호직,13,252,68.7,19.4:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,일반,통신직,6,186,72,31.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),운영직(행정),3,28,59,9.3:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),운영직(경영),6,47,58,7.8:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),토목직,1,2,59,2.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),건축직,1,0,N/A,0.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),기계직,2,3,48,1.5:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),전기직,2,5,48,2.5:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),신호직,2,3,49.06,1.5:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(장애인),통신직,1,1,N/A,1.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(2종면허),운전직,23,728,60,31.7:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(2종면허),기계직,1,22,6,22.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(2종면허),전기직,2,36,61,18.0:1
2024,2024년 상반기 부산교통공사 신입사원 공개채용 공고,경력·제한(보훈),운영직(행정),2,23,76,11.5:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,행정직,5,170,70.25,34:1
2024,2024년 부산도시공사 신입사원 모집공고,장애인,행정직,2,10,46.07,5:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,토목직,3,64,65.52,21:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,건축직,4,68,72,17:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,기계직,1,9,64,9:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,전기직,1,17,74,17:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,통신직,1,9,63,9:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,공무직_미화원,1,22,56,22:1
2024,2024년 부산도시공사 신입사원 모집공고,일반,아르피나 운영직_기능인재,1,0,N/A,0:1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,일반,행정8급,2,27,N/A,13.5 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,일반,기계8급,3,28,N/A,9.33 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,일반,전기8급,4,64,N/A,16 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,일반,환경8급,5,168,N/A,33.6 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,일반,토목8급,1,19,N/A,19 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,공무직,조 경,1,8,N/A,8 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,경력,기계8급,2,31,N/A,15.5 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,경력,환경8급,1,24,N/A,24 : 1
2024,2024년 부산환경공단 상반기 신규직원 채용 접수결과,보훈,기계8급,1,2,N/A,2 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,일반,행정8급,1,39,N/A,39 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,일반,기계8급,4,36,N/A,9 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,일반,기계_안전 8급,3,71,N/A,23.67 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,일반,전기8급,5,81,N/A,16.20 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,일반,환경8급,7,183,N/A,26.14 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,UIS,1,8,N/A,8 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,해설,1,1,N/A,1 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,경력,기계8급,2,42,N/A,21 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,보훈,행정8급,1,8,N/A,8 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,운전경력,2,9,N/A,4.50 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,운전장애,1,1,N/A,1 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,운전고졸,1,3,N/A,3 : 1
2024,부산관광공사 무기계약직(운전원) 공개경쟁채용 공고,일반,운전원,3,1,N/A,0.3:1
2024,2024년 부산관광공사 신입사원 공개채용 공고,일반,일반 사무직,4,94,75,23.5:1
2024,부산관광공사 무기계약직(운전원) 공개경쟁채용 공고,일반,운전원,2,2,N/A,1:1
2023,2023년 부산관광공사 신입사원 공개채용 공고 ,일반,행정직(정보보안),1,3, ,3:1
2023,2023년 부산관광공사 신입사원 공개채용 공고 ,일반,행정직(관광마케팅),3,124,,41.3:1
2024,2024년도 부산관광공사 신입사원 모집공고,일반,행정직,4,94,75,23.5:1
